,Race_Type,Horse_Name,Trainer_name,Jockey_name,Weight,Draw,Win_odds,predicted finishing time,Place
38,VICTORIA HARBOUR HANDICAP,GOLD CHEST,R Gibson,M F Poon,131.0,131.0,36.0,73.79714687135652,13
39,VICTORIA HARBOUR HANDICAP,YOUNG LEGEND,C S Shum,A Hamelin,119.0,119.0,121.0,74.08127742605564,14
40,CLEAR WATER BAY HANDICAP,ZONE D,J Size,A Badel,127.0,127.0,13.0,72.63287698992382,1
41,CLEAR WATER BAY HANDICAP,TRAVEL GLORY,C W Chang,V Borges,126.0,126.0,30.0,72.80516924103425,2
42,CLEAR WATER BAY HANDICAP,ULTRA EXPRESS,A T Millard,K Teetan,122.0,122.0,7.800000190734863,73.08953332827753,3
43,CLEAR WATER BAY HANDICAP,WINS ALL,W Y So,Z Purton,123.0,123.0,3.4000000953674316,73.38597110565202,4
44,CLEAR WATER BAY HANDICAP,MORE THAN ENOUGH,A S Cruz,C Soumillon,129.0,129.0,6.800000190734863,73.94365669057046,5
45,CLEAR WATER BAY HANDICAP,BEST FOR YOU,Y S Tsui,C Schofield,126.0,126.0,39.0,74.53028268951269,6
46,CLEAR WATER BAY HANDICAP,GREEN ENVY,C Fownes,J Moreira,117.0,117.0,4.800000190734863,74.72687311160911,7
47,CLEAR WATER BAY HANDICAP,SEAWEED FORTUNE,K W Lui,C Y Ho,129.0,129.0,13.0,74.73307598573425,8
48,CLEAR WATER BAY HANDICAP,EL JEFE,C H Yip,K C Leung,127.0,127.0,38.0,74.79720000729812,9
49,CLEAR WATER BAY HANDICAP,GOLDEN LINK,P F Yiu,M F Poon,131.0,131.0,50.0,74.86851234269159,10
50,CLEAR WATER BAY HANDICAP,STUNNING IMPACT,P O'Sullivan,T Piccone,121.0,121.0,15.0,74.90957280921558,11
51,CLEAR WATER BAY HANDICAP,PEARL CHAMPION,K L Man,A Hamelin,122.0,122.0,34.0,74.91006650658349,12
52,CLEAR WATER BAY HANDICAP,DIAMOND RHYME,F C Lor,C L Chau,125.0,125.0,11.0,75.11883445555438,13
53,CLEAR WATER BAY HANDICAP,UNIVERSAL CROWN,D J Whyte,M L Yeung,117.0,117.0,136.0,75.42404268734322,14
54,ROBIN HANDICAP,JADE PHOENIX,F C Lor,J Moreira,129.0,129.0,3.299999952316284,69.35686474457592,1
55,ROBIN HANDICAP,COLONEL,P F Yiu,K H Chan,126.0,126.0,8.899999618530273,70.12041352630405,2
