Horse_ID,Horse_Name,Country,Age,URL,URL_Country,URL_bn,Foal_Date,success_flag
7073,PACIFIC VICTORY,GB,,https://www.racenet.com.au/profiles/horse/pacific-victory,https://www.racenet.com.au/profiles/horse/pacific-victory-gb,https://www.breednet.com.au/horse/pacific-victory,,0
7074,DATKIM,AUS,,https://www.racenet.com.au/profiles/horse/datkim,https://www.racenet.com.au/profiles/horse/datkim-aus,https://www.breednet.com.au/horse/datkim,,0
7075,SUPER PEARL,AUS,,https://www.racenet.com.au/profiles/horse/super-pearl,https://www.racenet.com.au/profiles/horse/super-pearl-aus,https://www.breednet.com.au/horse/super-pearl,,0
7076,WYNDAM PLENTY,AUS,,https://www.racenet.com.au/profiles/horse/wyndam-plenty,https://www.racenet.com.au/profiles/horse/wyndam-plenty-aus,https://www.breednet.com.au/horse/wyndam-plenty,,0
7077,SPEED FIGHTER,AUS,,https://www.racenet.com.au/profiles/horse/speed-fighter,https://www.racenet.com.au/profiles/horse/speed-fighter-aus,https://www.breednet.com.au/horse/speed-fighter,Invalid Date,0
7078,RIGHT DECISION,AUS,,https://www.racenet.com.au/profiles/horse/right-decision,https://www.racenet.com.au/profiles/horse/right-decision-aus,https://www.breednet.com.au/horse/right-decision,,0
7079,FAMOUS DANCER,AUS,,https://www.racenet.com.au/profiles/horse/famous-dancer,https://www.racenet.com.au/profiles/horse/famous-dancer-aus,https://www.breednet.com.au/horse/famous-dancer,,0
7080,THOUSAND WINS,AUS,,https://www.racenet.com.au/profiles/horse/thousand-wins,https://www.racenet.com.au/profiles/horse/thousand-wins-aus,https://www.breednet.com.au/horse/thousand-wins,,0
7081,CALIFORNIA BISHOP,AUS,,https://www.racenet.com.au/profiles/horse/california-bishop,https://www.racenet.com.au/profiles/horse/california-bishop-aus,https://www.breednet.com.au/horse/california-bishop,Invalid Date,0
7082,KAISER'S PRIZE,AUS,,https://www.racenet.com.au/profiles/horse/kaisers-prize,https://www.racenet.com.au/profiles/horse/kaisers-prize-aus,https://www.breednet.com.au/horse/kaiser's-prize,Invalid Date,0
7083,MASTER ABLE,NZ,,https://www.racenet.com.au/profiles/horse/master-able,https://www.racenet.com.au/profiles/horse/master-able-nz,https://www.breednet.com.au/horse/master-able,Invalid Date,0
7084,CHOSEN ONE,NZ,,https://www.racenet.com.au/profiles/horse/chosen-one,https://www.racenet.com.au/profiles/horse/chosen-one-nz,https://www.breednet.com.au/horse/chosen-one,Invalid Date,0
7085,JET RISE,NZ,,https://www.racenet.com.au/profiles/horse/jet-rise,https://www.racenet.com.au/profiles/horse/jet-rise-nz,https://www.breednet.com.au/horse/jet-rise,,0
7086,BRAINIEST,NZ,,https://www.racenet.com.au/profiles/horse/brainiest,https://www.racenet.com.au/profiles/horse/brainiest-nz,https://www.breednet.com.au/horse/brainiest,,0
7087,FIREWHEEL,NZ,,https://www.racenet.com.au/profiles/horse/firewheel,https://www.racenet.com.au/profiles/horse/firewheel-nz,https://www.breednet.com.au/horse/firewheel,,0
7088,FORTUNE GOLD,AUS,,https://www.racenet.com.au/profiles/horse/fortune-gold,https://www.racenet.com.au/profiles/horse/fortune-gold-aus,https://www.breednet.com.au/horse/fortune-gold,,0
