Horse_ID,Horse_Name,Horse_Code,State,Country,Age,Color,Sex,Import_type,Total_Stakes,Owner,Last_Rating,Sire,Dam,Dam_sire
110,VIRTUS STAR,B395,Active,AUS,5,Bay , Gelding,PPG,"2,275,525",HKUAA Syndicate,,Sebring,Princess Natural,Danehill Dancer
111,TOUCH OF LUCK,B376,Retired,AUS,,Chestnut , Gelding,ISG,"3,901,840",Pardeep Kumar Ramchandani,78,Hard Spun,Seamstress,Rory's Jester
112,NORDIC WARRIOR,B371,Active,IRE,6,Chestnut , Gelding,ISG,"3,856,350",Edmond Yue Kwok Yin,,Dutch Art,Girl Power,Key Of Luck
113,PAKISTAN FRIEND,B370,Active,AUS,6,Chestnut , Gelding,ISG,"3,582,900",Kerm Din & Kareem Din,,Not A Single Doubt,Heaven Beneath,More Than Ready
114,NABOO STAR,B366,Active,AUS,6,Bay , Gelding,ISG,"3,542,430",Cheung Yeuk Lee,,Casino Prince,Private,Encosta de Lago
115,CALIFORNIA LEGEND,B363,Active,IRE,6,Bay , Gelding,ISG,"2,618,895",Howard Liang Yum Shing,,Camelot,Kiss Me Goodbye,Raven's Pass
116,VILLA FIONN,B339,Active,AUS,6,Bay , Gelding,PP,"2,036,635",Yeung Kwong Fat,,Sebring,Aeronwy,Dylan Thomas
117,FORZA ANGEL,B333,Retired,GB,,Chestnut , Gelding,PP,"1,415,988",Tse Ming Yee,48,Mayson,Noble One,Primo Dominie
118,WINNING WAYS,B332,Retired,IRE,,Bay , Gelding,PP,"1,899,490",Henry Cheng Kar Shun,43,Lope de Vega,Sahara Sky,Danehill
119,KEEP WINNING,B331,Active,IRE,7,Bay , Gelding,PP,"1,282,175",Mr & Mrs George Chang,,Henrythenavigator,Silver Star,Zafonic
120,AFTER ME,B300,Active,IRE,6,Bay , Gelding,PP,"1,882,990",Waterfalls Syndicate,,Equiano,Blue Dune,Invincible Spirit
121,HAPPY HOUR,B286,Active,NZ,6,Chestnut , Gelding,PP,"906,895",Life of Pleasure Syndicate,,Mastercraftsman,Jolly Genie,Generous
122,RACING FIGHTER,B285,Active,NZ,6,Grey , Gelding,PP,"6,543,000",CAAF Syndicate,,Mastercraftsman,Comme Tu Veux,Howbaddouwantit
123,BUNDLE OF ENERGY,B279,Retired,NZ,,Brown , Gelding,PPG,"1,935,933",Mr & Mrs Colin Lo Chor Cheong,44,Reliable Man,Betty Brown,Keeper
