Trainer_ID,name,HV_races,HV_wins,HV_placed,HV_rate,ST_races,ST_wins,ST_placed,ST_rate,Total_wins,Total_second_places,Total_third_places,Total_fourth_places,Total_rides,Win_percentage
311,T Pinfield,,,,0%,3,,1,0%,,,1,,3,0%
312,J A Glover,,,,0%,1,,,0%,,,,,1,0%
313,M S Saunders,,,,0%,1,,,0%,,,,,1,0%
314,M J Ellerton,,,,0%,1,,,0%,,,,,1,0%
315,T J McKee,,,,0%,3,1,,33.33%,1,,,,3,33.33%
316,R Brock,,,,0%,1,,1,0%,,,1,,1,0%
317,D Lawson,,,,0%,1,,,0%,,,,,1,0%
318,N Tinkler,,,,0%,1,,,0%,,,,,1,0%
319,J Garcia,,,,0%,1,,,0%,,,,,1,0%
320,J Morgan,,,,0%,1,,,0%,,,,,1,0%
321,M Gerrard,,,,0%,1,,,0%,,,,,1,0%
322,J E Picou,,,,0%,2,1,,50%,1,,,,2,50%
323,M D Moroney,,,,0%,3,,,0%,,,,,3,0%
324,C L Dickey,,,,0%,1,,,0%,,,,,1,0%
325,J B R Ralph,,,,0%,2,,,0%,,,,,2,0%
326,J D Morish,,,,0%,2,,,0%,,,,,2,0%
327,P M Perry,,,,0%,3,,1,0%,,1,,1,3,0%
328,E Alston,,,,0%,1,,,0%,,,,,1,0%
329,J Hills,,,,0%,1,1,,100%,1,,,,1,100%
330,P Gallagher,,,,0%,1,,,0%,,,,,1,0%
331,J B de Balanda,,,,0%,1,,1,0%,,1,,,1,0%
332,J B Cummings,,,,0%,3,1,,33.33%,1,,,1,3,33.33%
333,R A James,,,,0%,1,,,0%,,,,,1,0%
334,Y Suzuki,,,,0%,1,,,0%,,,,,1,0%
335,J L Dunlop,,,,0%,2,,1,0%,,,1,,2,0%
336,K C Man,,,,0%,2,,,0%,,,,,2,0%
337,P Mitchell,,,,0%,1,,1,0%,,1,,,1,0%
338,S W Lee,18,,4,0%,23,2,4,8.7%,2,2,6,3,41,4.88%
339,P L Biancone,754,73,156,9.68%,2028,250,353,12.33%,323,262,247,206,2782,11.61%
340,H F Lam,853,107,161,12.54%,1415,104,176,7.35%,211,174,163,184,2268,9.3%
341,J F Meagher,,,,0%,4,,,0%,,,,,4,0%
342,R L Pearse,,,,0%,1,,,0%,,,,,1,0%
343,P Cole,,,,0%,3,,1,0%,,1,,,3,0%
344,R F Langsford,,,,0%,1,,,0%,,,,,1,0%
345,R F Cameron,,,,0%,2,,,0%,,,,,2,0%
346,A K Mahdi,,,,0%,1,,1,0%,,,1,,1,0%
347,M G Lees,,,,0%,2,,,0%,,,,,2,0%
348,C M Jillings,,,,0%,2,,,0%,,,,,2,0%
349,M Rolke,,,,0%,1,,,0%,,,,,1,0%
350,D O'Sullivan,,,,0%,5,,1,0%,,1,,,5,0%
351,L S Li,65,4,7,6.15%,127,6,9,4.72%,10,10,6,12,192,5.21%
352,C Goggin,,,,0%,1,,1,0%,,,1,,1,0%
353,B Schutz,,,,0%,1,,,0%,,,,,1,0%
354,K Roberts,,,,0%,1,,,0%,,,,,1,0%
355,A Lowe,,,,0%,2,,,0%,,,,1,2,0%
356,Mrs S L Kay,,,,0%,3,,1,0%,,1,,,3,0%
357,P C Hayes,,,,0%,4,,1,0%,,1,,,4,0%
358,R J Quinton,,,,0%,3,,,0%,,,,1,3,0%
359,Sir M Prescott,,,,0%,1,,,0%,,,,1,1,0%
360,K L O'Brien,,,,0%,2,,,0%,,,,,2,0%
361,A Laird,,,,0%,1,1,,100%,1,,,,1,100%
362,F P Campbell,,,,0%,1,,,0%,,,,,1,0%
363,Y S Tse,440,39,94,8.86%,720,39,78,5.42%,78,85,87,110,1160,6.72%
364,P H Chan,345,29,70,8.41%,765,43,83,5.62%,72,75,78,88,1110,6.49%
365,G M Hanlon,,,,0%,3,,2,0%,,1,1,1,3,0%
366,E Charpy,,,,0%,2,,,0%,,,,1,2,0%
367,J J Eagar,,,,0%,1,,,0%,,,,,1,0%
368,H Mori,,,,0%,7,1,1,14.29%,1,1,,2,7,14.29%
369,I Balding,,,,0%,1,,,0%,,,,1,1,0%
370,J K Vance,,,,0%,1,,,0%,,,,,1,0%
371,G Wragg,,,,0%,1,1,,100%,1,,,,1,100%
372,L D James,,,,0%,1,,,0%,,,,,1,0%
373,M W Dickinson,,,,0%,1,,,0%,,,,,1,0%
374,I P D Jory,,,,0%,1,,,0%,,,,,1,0%
375,N Begg,474,40,101,8.44%,966,70,151,7.25%,110,121,131,134,1440,7.64%
376,D Baertschiger,,,,0%,1,,,0%,,,,,1,0%
377,J Foresi,,,,0%,1,,,0%,,,,,1,0%
378,S C Rainford,,,,0%,1,,,0%,,,,,1,0%
379,A L Jones,,,,0%,1,,,0%,,,,,1,0%
380,S Dow,,,,0%,2,,,0%,,,,1,2,0%
381,W Dollase,,,,0%,3,,2,0%,,1,1,,3,0%
382,S H Tan,,,,0%,1,,,0%,,,,,1,0%
383,G E Barlow,,,,0%,1,,,0%,,,,,1,0%
384,K T Kam,770,78,135,10.13%,949,52,145,5.48%,130,129,151,148,1719,7.56%
385,H A Ibrahim,,,,0%,1,1,,100%,1,,,,1,100%
386,R Akehurst,,,,0%,1,,1,0%,,1,,,1,0%
387,F T Ritchie,,,,0%,1,,,0%,,,,,1,0%
388,R B Dowling,,,,0%,1,,,0%,,,,,1,0%
389,R Violette Jr,,,,0%,1,,1,0%,,1,,,1,0%
390,M Sayama,,,,0%,1,,,0%,,,,,1,0%
391,Y bin Ahmad,,,,0%,2,,,0%,,,,,2,0%
392,R C Hinton,,,,0%,1,,,0%,,,,,1,0%
393,J L Riley,,,,0%,1,1,,100%,1,,,,1,100%
394,R J Taylor,,,,0%,1,,,0%,,,,,1,0%
